Name,Money,Date,Tipo Texto,Compartido
Verdiago Vive,"480,00 €",1 de enero de 2024,Casa Nueva,No
Gasolina,"34,58 €",1 de enero de 2024,Gastos Compartidos,No
Gimnasio,"170,00 €",2 de enero de 2024,Gimnasio,Yes
ALDI,"2,48 €",2 de enero de 2024,Comida Diaria,No
Ahorro,"500,00 €",3 de enero de 2024,Ahorro,No
Compartido,"650,00 €",3 de enero de 2024,Gastos Compartidos,No
Repsol,"52,05 €",4 de enero de 2024,Gasolina,No
Multa,"50,00 €",5 de enero de 2024,Otros Transporte,No
Repsol,"61,03 €",7 de enero de 2024,Gasolina,No
Mueble Ikea,"19,99 €",8 de enero de 2024,Muebles y Electrodomésticos,No
Mueble Ikea,"19,99 €",9 de enero de 2024,Muebles y Electrodomésticos,No
Sherlock Holmes,"2,99 €",9 de enero de 2024,Libros,No
Devolución Streamcam,"87,55 €",11 de enero de 2024,PC,No
Super TKL,"1,80 €",11 de enero de 2024,Comida Diaria,No
Libro Harry,"44,41 €",12 de enero de 2024,Libros,No
Cargador y Android Auto Wireless,"69,38 €",12 de enero de 2024,Otros Transporte,No
ALDI,"2,88 €",14 de enero de 2024,Comida Diaria,No
Multa,"50,00 €",15 de enero de 2024,Otros Transporte,No
Cable Carga Rápida,"6,99 €",15 de enero de 2024,Suministros de la Casa,No
Libro Harry,"44,41 €",17 de enero de 2024,Libros,No
Costco,"12,99 €",20 de enero de 2024,Comida Diaria,No
Cosas de Aliexpress,"13,61 €",22 de enero de 2024,Videojuegos,No
Pesas Regulables,"425,00 €",22 de enero de 2024,Gimnasio,No
Regalo Cecilia,"50,00 €",23 de enero de 2024,Regalos Recibidos,No
Libros Chulos,"22,50 €",23 de enero de 2024,Libros,No
Regalo Papa,"56,00 €",23 de enero de 2024,Regalos Hechos,No
Regalo Papa para pesas,"100,00 €",23 de enero de 2024,Regalos Recibidos,No
Costco,"228,99 €",27 de enero de 2024,Comida Diaria,No
Devolución Javi,"102,00 €",27 de enero de 2024,Comida Diaria,No
ALDI,"16,47 €",27 de enero de 2024,Hobbies,No
ALDI,"2,38 €",28 de enero de 2024,Comida Diaria,No
Nómina Enero,"2451,91 €",31 de enero de 2024,Salario,No
Ahorro,"1000,00 €",31 de enero de 2024,Ahorro,No
Compartido,"488,00 €",31 de enero de 2024,Gastos Compartidos,No
Lush,"22,50 €",31 de enero de 2024,Regalos Hechos,No
Devolución Verdiago Vive,"112,50 €",1 de febrero de 2024,Casa Nueva,No
Chino,"3,75 €",2 de febrero de 2024,Comida Diaria,No
Comida con Ivan Y Galindo,"19,80 €",3 de febrero de 2024,Comida Fuera,No
Lavado Coche,"5,88 €",4 de febrero de 2024,Otros Transporte,No
Chino,"5,35 €",4 de febrero de 2024,Comida Diaria,No
Carrefour,"14,95 €",5 de febrero de 2024,Comida Diaria,No
ALDI,"2,49 €",6 de febrero de 2024,Comida Diaria,No
Compartido,"20,00 €",6 de febrero de 2024,Gastos Compartidos,No
ALDI,"2,99 €",7 de febrero de 2024,Comida Diaria,No
Invitar por mi cumple,"38,83 €",7 de febrero de 2024,Regalos Hechos,No
Gasto,"3,35 €",7 de febrero de 2024,Comida Diaria,No
VideJ,"60,00 €",8 de febrero de 2024,Videojuegos,No
"ingreso Ana por error ","28,15 €",8 de febrero de 2024,Gastos Compartidos,No
Compartido,"98,17 €",9 de febrero de 2024,Gastos Compartidos,No
ALDI,"3,88 €",11 de febrero de 2024,Comida Diaria,No
Juegos VR,"31,98 €",13 de febrero de 2024,Videojuegos,No
ALDI,"5,33 €",13 de febrero de 2024,Regalos Hechos,No
Juegos de Lego,"4,48 €",14 de febrero de 2024,Videojuegos,No
Café,"2,40 €",14 de febrero de 2024,Regalos Hechos,No
Traspaso a Ana para futuros pagos de 1000€,"1000,00 €",14 de febrero de 2024,Casa Nueva,No
Coger de Ahorro para TV,"-2600,00 €",14 de febrero de 2024,Ahorro,No
Pago 1/2 TV,"1000,00 €",14 de febrero de 2024,Casa Nueva,No
TETRIS,"9,00 €",16 de febrero de 2024,Videojuegos,No
ALDI,"4,46 €",16 de febrero de 2024,Comida Diaria,No
11€ a Efectivo,"11,00 €",16 de febrero de 2024,Capricho,No
Gasolina,"63,06 €",16 de febrero de 2024,Gasolina,No
Toy,"34,10 €",18 de febrero de 2024,Capricho,No
Ahorro,"405,56 €",19 de febrero de 2024,Ahorro,No
Ahorro,"2,91 €",19 de febrero de 2024,Ahorro,No
