"Fecha","Fecha banco","Nombre","Tipo","Grupo","Importe","Pagado","No contar","Notas"
"2024-12-31","2024-12-31","Deuda con Ana","Otros Casa","Gasto","-117.66","Sí","No",""
"2024-12-31","2024-12-31","Ahorro Diciembre","Ahorro","Gasto","-1431.87","Sí","No",""
"2024-12-31","2024-12-31","Ahorro a Ahorro capricho","Ahorro","Devolución","2335.97","Sí","No",""
"2024-12-31","2024-12-31","Ahorro a Ahorro capricho","Ahorro Privado","Gasto","-2335.97","Sí","No",""
"2024-12-31","2024-12-31","Nómina Diciembre","Salario","Ingreso","1672.41","Sí","No",""
"2024-12-31","2024-12-31","Ajuste","Otros Vida Diaria","Gasto","-1.34","Sí","No",""
"2024-12-31","2024-12-31","Netflix Diciembre","Netflix","Gasto","-7","Sí","No",""
"2024-12-28","2024-12-28","COmida","Comida Diaria","Gasto","-35.7","Sí","No",""
"2024-12-25","2024-12-25","Comida","Comida Diaria","Gasto","-7.59","Sí","No",""
"2024-12-24","2024-12-24","Comida","Comida Diaria","Gasto","-2.75","Sí","No",""
"2024-12-23","2024-12-23","Pan Londres","Comida Diaria","Gasto","-3","Sí","No",""
"2024-12-23","2024-12-23","Ahorro automático","Ahorro","Gasto","-7.02","Sí","No",""
"2024-12-23","2024-12-23","Ahorro","Ahorro","Devolución","132.02","Sí","No",""
"2024-12-23","2024-12-23","Mercadona","Comida Diaria","Gasto","-21.27","Sí","No",""
"2024-12-22","2024-12-22","ALDI","Comida Diaria","Gasto","-3.93","Sí","No",""
"2024-12-22","2024-12-22","Nesteas con estos","Comida Fuera","Gasto","-7.6","Sí","No",""
"2024-12-21","2024-12-21","Regalo estos","Regalos Hechos","Gasto","-6.4","Sí","No",""
"2024-12-20","2024-12-20","Comida con estos","Comida Fuera","Gasto","-34","Sí","No",""
"2024-12-19","2024-12-19","Chino","Comida Diaria","Gasto","-1","Sí","No",""
"2024-12-19","2024-12-19","Popeyes","Comida Fuera","Gasto","-13.97","Sí","No",""
"2024-12-18","2024-12-18","Ahorramas","Comida Diaria","Gasto","-3.79","Sí","No",""
"2024-12-18","2024-12-18","MiAlcampo","Comida Diaria","Gasto","-4.36","Sí","No",""
"2024-12-16","2024-12-16","Gimnasio","Gimnasio","Gasto","-28.04","Sí","No",""
"2024-12-15","2024-12-15","ALDI","Comida Diaria","Gasto","-2.08","Sí","No",""
"2024-12-15","2024-12-15","ALDI","Comida Diaria","Gasto","-4.94","Sí","No",""
"2024-12-15","2024-12-15","Aliexpres","Regalos Hechos","Gasto","-14.38","Sí","No",""
"2024-12-15","2024-12-15","ALDI","Comida Diaria","Gasto","-6.96","Sí","No",""
"2024-12-13","2024-12-13","Mercadona","Comida Diaria","Gasto","-5.65","Sí","No",""
"2024-12-08","2024-12-08","Parte del regalo ana","Regalos Hechos","Gasto","-22.9","Sí","No",""
"2024-12-07","2024-12-07","Parte del regalo ana","Regalos Hechos","Gasto","-8.99","Sí","No",""
"2024-12-07","2024-12-07","Ahorro automatico","Ahorro","Gasto","-2.72","Sí","No",""
"2024-12-07","2024-12-07","Midjourney","Hobbies","Gasto","-11.9","Sí","No",""
"2024-12-06","2024-12-06","Kebab con estos","Comida Fuera","Gasto","-9.5","Sí","No",""
"2024-12-05","2024-12-05","McDonald","Comida Fuera","Gasto","-17.45","Sí","No",""
"2024-12-05","2024-12-05","Aliexpress parte de Ana","Regalos Hechos","Gasto","-12.21","Sí","No",""
"2024-12-05","2024-12-05","Cosas de ana en chino","Otros Casa","Gasto","-14.85","Sí","No",""
"2024-12-04","2024-12-04","Regalo Papa AI","Regalos Hechos","Gasto","-19.99","Sí","No",""
"2024-12-04","2024-12-04","Parte del regalo ana","Regalos Hechos","Gasto","-5.3","Sí","No",""
"2024-12-04","2024-12-04","ahorramas","Comida Diaria","Gasto","-3.39","Sí","No",""
"2024-12-02","2024-12-02","Merkocash","Comida Diaria","Gasto","-2.65","Sí","No",""
"2024-12-01","2024-12-01","Bañadores Ana","Otros Casa","Gasto","-71.13","Sí","No",""
"2024-11-30","2024-11-30","Regalo Navidad Ana","Regalos Hechos","Gasto","-100","Sí","No",""
"2024-11-30","2024-11-30","Mueble cocina para Ana","Otros Casa","Gasto","-84.99","Sí","No",""
"2024-11-30","2024-11-30","Ahorro de Rendondeo","Ahorro","Gasto","-2.45","Sí","No",""
"2024-11-29","2024-11-29","Pago Deuda Ana","Otros Casa","Gasto","-348","Sí","No",""
"2024-11-29","2024-11-29","Nómina Noviembre","Salario","Ingreso","1663.01","Sí","No",""
"2024-11-29","2024-11-29","Regalo de Ana 2","Regalos Hechos","Gasto","-25.9","Sí","No",""
"2024-11-29","2024-11-29","Ahorro Noviembre","Ahorro","Gasto","-719.5","Sí","No",""
"2024-11-29","2024-11-29","Cuaderno Aviación","Hobbies","Gasto","-16.14","Sí","No",""
"2024-11-29","2024-11-29","Bolso regalo de Ana","Regalos Hechos","Gasto","-22.54","Sí","No",""
"2024-11-29","2024-11-29","Libro Regalo Papa","Regalos Hechos","Gasto","-21.9","Sí","No",""
"2024-11-29","2024-11-29","Burguer King","Comida Diaria","Gasto","-20.72","Sí","No",""
"2024-11-28","2024-11-28","KFC y Bimbo","Comida Diaria","Gasto","-10.9","Sí","No",""
"2024-11-27","2024-11-27","Cosas Aliexpress","Capricho","Gasto","-4.66","Sí","No",""
"2024-11-26","2024-11-26","Chino","Comida Diaria","Gasto","-3.5","Sí","No",""
"2024-11-18","2024-11-18","Burguer","Comida Diaria","Gasto","-5.85","Sí","No",""
"2024-11-13","2024-11-13","ALDI","Comida Diaria","Gasto","-3.38","Sí","No",""
"2024-11-11","2024-11-11","Alcampo","Comida Diaria","Gasto","-7.75","Sí","No",""
"2024-11-10","2024-11-10","ALDI","Comida Diaria","Gasto","-5","Sí","No",""
"2024-11-09","2024-11-09","Lidl y Ahorramas","Comida Diaria","Gasto","-7.77","Sí","No",""
"2024-11-05","2024-11-05","Ahorro","Ahorro","Gasto","-300","Sí","No",""
"2024-11-04","2024-11-04","Comer fuera","Comida Fuera","Gasto","-21.07","Sí","No",""
"2024-11-04","2024-11-04","Midjourney","Hobbies","Gasto","-11.49","Sí","No",""
"2024-11-04","2024-11-04","Alcampo","Comida Diaria","Gasto","-8.09","Sí","No",""
"2024-11-04","2024-11-04","Amazon a Ana","Otros Casa","Gasto","-38.22","Sí","No",""
"2024-11-03","2024-11-03","ALDI","Comida Diaria","Gasto","-5.25","Sí","No",""
"2024-11-03","2024-11-03","Costco","Regalos Hechos","Gasto","-15.14","Sí","No",""
"2024-11-03","2024-11-03","Costco","Libros","Gasto","-15","Sí","No",""
"2024-11-02","2024-11-02","Mercadona","Comida Diaria","Gasto","-7.85","Sí","No",""
"2024-11-01","2024-11-01","Carrefour","Comida Diaria","Gasto","-1.49","Sí","No",""
"2024-11-01","2024-11-01","Subrayadores","Hobbies","Gasto","-5.74","Sí","No",""
"2024-10-31","2024-10-31","Regalo Ana 4/4","Regalos Hechos","Gasto","-32.49","Sí","No",""
"2024-10-31","2024-10-31","Cargador Baseus para Ana","Otros Casa","Gasto","-34.98","Sí","No",""
"2024-10-31","2024-10-31","Pago Corte Ingles","Otros Casa","Gasto","-323.5","Sí","No",""
"2024-10-31","2024-10-31","Boda","Otros Vida Diaria","Gasto","-755.84","Sí","No",""
"2024-10-31","2024-10-31","Nómina Octubre","Salario","Ingreso","1454","Sí","No",""
"2024-10-30","2024-10-30","Lidl","Comida Diaria","Gasto","-3.5","Sí","No",""
"2024-10-30","2024-10-30","ITV","Otros Transporte","Gasto","-34.95","Sí","No",""
"2024-10-28","2024-10-28","Carrefour","Comida Diaria","Gasto","-3.3","Sí","No",""
"2024-10-28","2024-10-28","The Clover","Comida Fuera","Gasto","-13","Sí","No",""
"2024-10-26","2024-10-26","Burguer","Comida Fuera","Gasto","-8.45","Sí","No",""
"2024-10-26","2024-10-26","Mercadona","Comida Diaria","Gasto","-2.5","Sí","No",""
"2024-10-24","2024-10-24","KFC","Comida Diaria","Gasto","-4.48","Sí","No",""
"2024-10-24","2024-10-24","TKL","Comida Diaria","Gasto","-2.8","Sí","No",""
"2024-10-23","2024-10-23","Carrefour","Comida Diaria","Gasto","-6.57","Sí","No",""
"2024-10-20","2024-10-20","Ajuste","Otros Ingresos","Ingreso","8.5","Sí","No",""
"2024-10-19","2024-10-19","Cine","Espectáculo (Cine/Teatro)","Gasto","-27","Sí","No",""
"2024-10-19","2024-10-19","Zapatillas Adidas","Ropa","Gasto","-63.34","Sí","No",""
"2024-10-10","2024-10-10","Impuesto de circulación","Otros Transporte","Gasto","-23.98","Sí","No",""
"2024-10-04","2024-10-04","TV Hospital","Otros Entretenimiento","Gasto","-12","Sí","No",""
"2024-10-01","2024-10-01","Comida","Comida Fuera","Gasto","-10.96","Sí","No",""
"2024-09-30","2024-09-30","Regalo Ana 3/4","Regalos Hechos","Gasto","-32.5","Sí","No",""
"2024-09-29","2024-09-29","Pago Corte Ingles","Otros Casa","Gasto","-323.5","Sí","No",""
"2024-09-29","2024-09-29","KFC","Comida Fuera","Gasto","-13.2","Sí","No",""
"2024-09-29","2024-09-29","Boda","Otros Vida Diaria","Gasto","-250","Sí","No",""
"2024-09-29","2024-09-29","Compartido","Otros Vida Diaria","Gasto","-650","Sí","No",""
"2024-09-28","2024-09-28","Pizza con estos","Comida Fuera","Gasto","-10","Sí","No",""
"2024-09-28","2024-09-28","Nómina Septiembre","Salario","Ingreso","1663.01","Sí","No",""
"2024-09-26","2024-09-26","Seguro Coche","Seguro","Gasto","-368.43","Sí","No",""
"2024-09-24","2024-09-24","Chino","Hobbies","Gasto","-4.5","Sí","No",""
